Year,Jurisdiction,Subject,Grade,Subgroup,Mean,25th Percentile,50th Percentile,75th Percentile,Standard Deviation,Cumulative achievement level - Below Basic,Discrete achievement level - At Basic,Cumulative achievement level - At or above Basic,Discrete achievement level - At Proficient,Cumulative achievement level - At or above Proficient,Discrete achievement level - At Advanced,Cumulative achievement level - At Advanced
2009,AL,Mathematics,4,All,227.96,209.55,229.88,248.56,29.83,29.74,45.80,70.26,22.11,24.46,2.35,2.35
2009,AK,Mathematics,4,All,237.21,218.25,240.13,259.17,31.15,21.66,40.50,78.34,31.94,37.84,5.90,5.90
2009,AZ,Mathematics,4,All,229.99,209.73,231.29,251.68,30.72,29.46,42.59,70.54,24.28,27.95,3.68,3.68
2009,AR,Mathematics,4,All,237.54,219.29,239.49,257.44,28.80,20.00,43.75,80.00,31.37,36.25,4.88,4.88
2009,CA,Mathematics,4,All,231.67,210.66,232.72,254.19,32.14,28.31,41.44,71.69,24.88,30.24,5.36,5.36
2009,CO,Mathematics,4,All,243.13,224.07,245.61,264.17,29.44,16.21,38.56,83.79,37.13,45.23,8.10,8.10
2009,CT,Mathematics,4,All,244.72,226.11,246.28,265.00,28.39,14.49,39.33,85.51,37.87,46.18,8.31,8.31
2009,DE,Mathematics,4,All,239.49,222.18,239.75,257.34,26.13,16.33,47.25,83.67,31.49,36.42,4.92,4.92
2009,DC,Mathematics,4,All,219.26,197.74,218.64,239.88,32.27,43.71,39.29,56.29,13.73,17.00,3.27,3.27
2009,FL,Mathematics,4,All,241.94,224.81,242.55,259.78,25.92,13.87,45.75,86.13,35.06,40.39,5.33,5.33
2009,GA,Mathematics,4,All,236.03,217.23,237.24,255.86,28.46,22.03,44.12,77.97,29.30,33.85,4.54,4.54
2009,HI,Mathematics,4,All,235.68,217.04,239.17,258.40,32.28,22.54,40.72,77.46,31.56,36.74,5.18,5.18
2009,ID,Mathematics,4,All,241.04,224.24,242.56,259.41,26.17,15.38,44.08,84.62,35.96,40.53,4.57,4.57
2009,IL,Mathematics,4,All,238.29,218.80,239.81,259.43,30.37,20.44,41.93,79.56,30.93,37.63,6.70,6.70
2009,IN,Mathematics,4,All,242.62,226.34,243.75,259.96,25.80,12.86,45.55,87.14,36.15,41.59,5.44,5.44
2009,IA,Mathematics,4,All,242.60,225.94,243.83,259.97,25.42,13.13,45.48,86.87,36.15,41.39,5.24,5.24
2009,KS,Mathematics,4,All,245.31,229.31,246.61,263.18,25.60,11.10,42.63,88.90,39.99,46.27,6.29,6.29
2009,KY,Mathematics,4,All,238.84,220.28,239.14,257.94,27.76,19.04,44.45,80.96,30.68,36.50,5.82,5.82
2009,LA,Mathematics,4,All,229.43,211.79,229.79,247.23,26.09,27.66,49.49,72.34,20.94,22.85,1.91,1.91
2009,ME,Mathematics,4,All,244.46,227.46,245.80,262.67,26.73,12.79,42.20,87.21,37.96,45.01,7.05,7.05
2009,MD,Mathematics,4,All,243.80,224.62,244.09,263.69,28.28,14.84,41.44,85.16,34.89,43.72,8.83,8.83
2009,MA,Mathematics,4,All,252.25,236.29,253.21,270.10,26.06,7.65,35.52,92.35,44.78,56.83,12.05,12.05
2009,MI,Mathematics,4,All,236.28,217.40,238.03,257.35,29.98,22.05,42.82,77.95,29.90,35.13,5.23,5.23
2009,MN,Mathematics,4,All,249.46,231.45,251.53,269.61,28.21,11.37,34.81,88.63,42.33,53.82,11.49,11.49
2009,MS,Mathematics,4,All,227.26,209.08,227.65,246.47,27.35,30.93,46.84,69.07,20.70,22.23,1.52,1.52
2009,MO,Mathematics,4,All,240.68,222.50,242.86,260.68,28.59,17.38,41.51,82.62,35.20,41.11,5.91,5.91
2009,MT,Mathematics,4,All,244.40,228.15,245.80,262.02,25.29,11.62,42.92,88.38,39.80,45.46,5.66,5.66
2009,NE,Mathematics,4,All,238.75,221.73,240.79,257.98,27.29,17.87,44.19,82.13,33.86,37.94,4.08,4.08
2009,NV,Mathematics,4,All,235.15,217.47,236.89,254.26,27.42,21.45,46.49,78.55,28.94,32.06,3.12,3.12
2009,NH,Mathematics,4,All,251.07,234.86,252.62,268.63,25.49,7.92,36.33,92.08,45.65,55.75,10.09,10.09
2009,NJ,Mathematics,4,All,246.53,228.62,248.16,265.73,27.46,12.48,38.68,87.52,39.85,48.84,8.99,8.99
2009,NM,Mathematics,4,All,230.03,211.00,230.77,250.13,28.83,28.18,45.63,71.82,23.26,26.19,2.93,2.93
2009,NY,Mathematics,4,All,240.64,223.00,242.20,260.08,27.42,16.67,43.17,83.33,34.76,40.16,5.40,5.40
