Year,Jurisdiction,Subject,Grade,Subgroup,Mean,25th Percentile,50th Percentile,75th Percentile,Standard Deviation,Cumulative achievement level - Below Basic,Discrete achievement level - At Basic,Cumulative achievement level - At or above Basic,Discrete achievement level - At Proficient,Cumulative achievement level - At or above Proficient,Discrete achievement level - At Advanced,Cumulative achievement level - At Advanced
2019,AL,Mathematics,4,All,229.65,210.46,231.78,251.62,31.70,28.51,43.39,71.49,24.72,28.10,3.38,3.38
2019,AK,Mathematics,4,All,232.31,211.28,235.85,255.88,34.00,27.14,39.69,72.86,27.86,33.17,5.31,5.31
2019,AZ,Mathematics,4,All,237.61,216.80,239.06,259.60,31.94,22.51,40.14,77.49,30.03,37.35,7.32,7.32
2019,AR,Mathematics,4,All,233.25,214.18,236.37,255.83,32.49,24.88,41.87,75.12,28.72,33.25,4.53,4.53
2019,CA,Mathematics,4,All,234.72,213.52,236.17,256.82,32.74,25.42,40.95,74.58,26.69,33.63,6.94,6.94
2019,CO,Mathematics,4,All,241.87,220.86,244.59,265.45,33.53,19.52,36.02,80.48,34.05,44.46,10.41,10.41
2019,CT,Mathematics,4,All,243.26,222.59,245.08,264.83,31.25,17.54,37.46,82.46,34.91,45.00,10.09,10.09
2019,DE,Mathematics,4,All,239.32,218.09,240.36,261.48,32.77,21.26,39.60,78.74,29.79,39.14,9.35,9.35
2019,DC,Mathematics,4,All,234.64,212.02,235.41,258.19,34.43,26.85,38.99,73.15,25.91,34.16,8.25,8.25
2019,FL,Mathematics,4,All,245.96,227.69,247.26,265.16,27.98,12.64,39.83,87.36,38.34,47.53,9.19,9.19
2019,GA,Mathematics,4,All,237.65,216.45,238.03,259.65,32.11,22.77,40.75,77.23,28.07,36.49,8.41,8.41
2019,HI,Mathematics,4,All,238.57,217.94,240.80,261.30,32.37,21.62,38.61,78.38,32.02,39.77,7.75,7.75
2019,ID,Mathematics,4,All,241.90,221.98,243.93,263.27,30.70,18.05,38.92,81.95,34.53,43.02,8.49,8.49
2019,IL,Mathematics,4,All,237.40,216.66,239.93,260.63,33.88,22.72,38.78,77.28,30.46,38.50,8.04,8.04
2019,IN,Mathematics,4,All,244.88,225.05,246.77,266.46,31.42,15.89,37.04,84.11,36.06,47.07,11.01,11.01
2019,IA,Mathematics,4,All,240.69,221.18,242.72,262.42,31.53,19.07,38.93,80.93,33.69,42.00,8.30,8.30
2019,KS,Mathematics,4,All,239.44,218.86,241.29,261.77,31.55,20.62,39.07,79.38,32.50,40.31,7.81,7.81
2019,KY,Mathematics,4,All,239.31,220.70,241.50,260.78,31.50,19.31,40.76,80.69,32.72,39.92,7.21,7.21
2019,LA,Mathematics,4,All,231.30,212.34,233.61,252.02,30.00,26.58,44.65,73.42,25.46,28.77,3.30,3.30
2019,ME,Mathematics,4,All,240.76,221.33,242.78,262.38,31.22,18.55,39.68,81.45,33.66,41.77,8.11,8.11
2019,MD,Mathematics,4,All,238.56,215.02,239.45,262.94,35.11,24.22,36.66,75.78,28.12,39.11,10.99,10.99
2019,MA,Mathematics,4,All,247.32,226.95,249.12,269.45,31.95,14.82,34.98,85.18,36.82,50.19,13.38,13.38
