Year,Jurisdiction,Subject,Grade,Subgroup,Mean,25th Percentile,50th Percentile,75th Percentile,Standard Deviation,Cumulative achievement level - Below Basic,Discrete achievement level - At Basic,Cumulative achievement level - At or above Basic,Discrete achievement level - At Proficient,Cumulative achievement level - At or above Proficient,Discrete achievement level - At Advanced,Cumulative achievement level - At Advanced
2009,AL,Mathematics,4,Special Education,193.66,170.14,194.44,218.51,33.92,70.74,24.18,29.26,4.98,5.08,999.00,999.00
2009,AK,Mathematics,4,Special Education,217.57,196.54,218.55,239.57,30.62,44.76,38.82,55.24,15.05,16.43,1.38,1.38
2009,AZ,Mathematics,4,Special Education,209.19,182.88,207.68,234.47,34.92,56.82,28.51,43.18,13.19,14.66,1.47,1.47
2009,AR,Mathematics,4,Special Education,215.25,195.60,217.25,237.99,30.94,46.15,40.27,53.85,13.30,13.57,999.00,999.00
2009,CA,Mathematics,4,Special Education,207.59,179.08,205.01,234.38,39.17,57.19,26.75,42.81,12.92,16.06,3.13,3.13
2009,CO,Mathematics,4,Special Education,218.15,198.13,218.90,238.20,30.75,42.68,42.32,57.32,12.55,15.00,2.45,2.45
2009,CT,Mathematics,4,Special Education,221.96,201.75,222.24,242.67,29.94,39.25,42.08,60.75,17.04,18.67,1.62,1.62
2009,DE,Mathematics,4,Special Education,220.01,201.68,219.51,238.96,27.76,41.60,42.86,58.40,14.14,15.54,1.40,1.40
2009,DC,Mathematics,4,Special Education,192.73,170.11,191.07,212.63,31.07,76.91,19.19,23.09,2.89,3.89,1.01,1.01
2009,FL,Mathematics,4,Special Education,230.24,211.23,231.79,250.53,28.19,27.87,45.66,72.13,23.99,26.48,2.49,2.49
2009,GA,Mathematics,4,Special Education,215.21,194.66,217.00,237.25,31.49,46.97,39.80,53.03,11.76,13.23,1.47,1.47
2009,HI,Mathematics,4,Special Education,195.82,168.10,192.27,221.49,36.85,69.89,21.37,30.11,7.16,8.74,1.58,1.58
2009,ID,Mathematics,4,Special Education,219.42,200.39,218.59,237.60,29.08,43.51,40.63,56.49,13.59,15.86,2.26,2.26
2009,IL,Mathematics,4,Special Education,222.94,198.77,223.99,247.72,34.79,38.16,38.56,61.84,19.34,23.28,3.94,3.94
2009,IN,Mathematics,4,Special Education,227.75,208.98,229.42,248.67,29.35,30.27,45.55,69.73,21.95,24.18,2.23,2.23
